page_id,name,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,dc/marvel
238455,Texas Kid (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,2.0,Jan-40,1940.0,marvel
20232,Louise Hastings (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,23.0,Oct-92,1992.0,marvel
283475,Warren Harding (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,,,,dc
343550,Ariadne of Knossos (New Earth),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,5.0,"1989, August",1989.0,dc
705650,David Garrett (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,1.0,Jan-06,2006.0,marvel
176259,Catwoman III (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,5.0,"2010, September",2010.0,dc
41947,Jean-Pierre Beaubier (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,4.0,Aug-01,2001.0,marvel
1588,Lomen (Earth-616),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,7.0,Sep-86,1986.0,marvel
393416,Mister Y (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,1.0,Sep-10,2010.0,marvel
132260,George Sloan (New Earth),Secret Identity,Good Characters,,,Male Characters,Bisexual Characters,Living Characters,16.0,"1997, June",1997.0,dc
120934,Kono Sanada (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,4.0,Nov-83,1983.0,marvel
42813,Amtor the Unspeakable (Earth-616),,Bad Characters,,,,,Living Characters,1.0,Nov-66,1966.0,marvel
631711,Pat Mahoney (Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,16.0,Sep-54,1954.0,marvel
34272,Hedron theFaceted (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,,Feb-01,2001.0,marvel
445628,Christine Sandt (Earth-616),,,,,Female Characters,,Living Characters,3.0,Feb-75,1975.0,marvel
30346,Atrocity (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3.0,Dec-93,1993.0,marvel
64632,Assassin (Mimeyoshi) (Earth-616),,,,Black Hair,Female Characters,,Living Characters,1.0,Jul-93,1993.0,marvel
344873,Aliaza (New Earth),,Good Characters,,,Female Characters,,Living Characters,1.0,"1989, August",1989.0,dc
295855,Skrull Prime (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3.0,Apr-91,1991.0,marvel
514228,Peter Blake (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,Jan-46,1946.0,marvel
67357,Claymore (Earth-616),Secret Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,1.0,Dec-00,2000.0,marvel
2216,Nergal,Secret Identity,Bad Characters,Black Eyes,,,,Living Characters,2.0,Sep-73,1973.0,marvel
688326,Compound D,,Bad Characters,,,,,Living Characters,4.0,Dec-09,2009.0,marvel
493373,Max Bovar (Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,1.0,Mar-44,1944.0,marvel
8856,Ezekiel Sims (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,27.0,Jun-01,2001.0,marvel
27571,Nobilus (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,14.0,Sep-90,1990.0,marvel
203309,Yggdrasil (New Earth),Secret Identity,Good Characters,,,,,Living Characters,11.0,"1989, November",1989.0,dc
661617,Caesar of Crime (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1.0,Sep-55,1955.0,marvel
755266,Thor (Taskmaster Robot) (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1.0,Oct-98,1998.0,marvel
709777,Elistis Diggenwell (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,1.0,Nov-48,1948.0,marvel
512296,Lasco Vicenti (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,Oct-45,1945.0,marvel
57939,Spencer Keen (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,6.0,Mar-40,1940.0,marvel
45684,Mia Lessing (Earth-616),,Good Characters,,,Female Characters,,Living Characters,5.0,Dec-81,1981.0,marvel
1513,Jonathan Chambers (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2.0,Oct-93,1993.0,marvel
555287,Luc (Earth-616),Secret Identity,Good Characters,White Eyes,Brown Hair,Male Characters,,Living Characters,3.0,Aug-04,2004.0,marvel
468060,Voodini (Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,,Deceased Characters,1.0,Jan-42,1942.0,marvel
237385,Lita Brand (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,8.0,"1968, April",1968.0,dc
5663,Starfire (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,15.0,"1976, September",1976.0,dc
490166,Bloody Baron (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1.0,Sep-43,1943.0,marvel
155092,Lewis Yarnell (New Earth),,Bad Characters,,,Male Characters,,Living Characters,1.0,"2008, April",2008.0,dc
174395,Annie Wheeler (Earth-616),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,8.0,May-83,1983.0,marvel
689409,Lucy Braddock (Earth-616),Public Identity,Good Characters,,,Female Characters,,Deceased Characters,3.0,Jul-03,2003.0,marvel
723917,Sainte-Cloud (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1.0,Mar-75,1975.0,marvel
13390,Helena Kyle (New Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,25.0,"2006, May",2006.0,dc
394133,Paul Atwell (Earth-616),,,,White Hair,Male Characters,,Living Characters,1.0,Mar-44,1944.0,marvel
197079,Reynard Slinker (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,7.0,Oct-63,1963.0,marvel
726011,Marci Camp (Earth-616),Secret Identity,Bad Characters,Blue Eyes,,Female Characters,,Living Characters,2.0,,,marvel
32611,Zalph (Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1.0,Sep-89,1989.0,marvel
1134,Barbarus (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,40.0,Nov-69,1969.0,marvel
41305,Rachel Dodds (New Earth),,,,Brown Hair,Female Characters,,Living Characters,9.0,"2007, December",2007.0,dc
292150,Charles Xavier (War Skrull) (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,5.0,Oct-90,1990.0,marvel
252198,Angeline Morrow (Earth-616),,Good Characters,,Blond Hair,Female Characters,,Living Characters,6.0,Mar-80,1980.0,marvel
457984,Alfred Tooks (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2.0,Jul-80,1980.0,marvel
2554,Silver Sablinova (Earth-616),Secret Identity,Good Characters,Blue Eyes,Silver Hair,Female Characters,,Deceased Characters,158.0,Jun-85,1985.0,marvel
16334,Commander Cypher (Earth-616),Secret Identity,,,,Female Characters,,Living Characters,4.0,Dec-96,1996.0,marvel
85167,Armando Ramone (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,8.0,"1984, December",1984.0,dc
43765,Voroshilov (Earth-616),,Bad Characters,,Blond Hair,Female Characters,,Living Characters,5.0,Jul-90,1990.0,marvel
27537,Django Maximoff (Earth-616),,,Brown Eyes,Black Hair,Male Characters,,Living Characters,16.0,Dec-77,1977.0,marvel
203031,Shaggy Man III (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,4.0,"2007, November",2007.0,dc
2596,Jacqueline Falsworth (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,127.0,Jul-76,1976.0,marvel
159164,Hollika Rahn (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Deceased Characters,12.0,"1983, April",1983.0,dc
308581,Solam (Earth-616),,,,,,,Deceased Characters,1.0,Oct-68,1968.0,marvel
116577,Gr\u00f6sshorn Eule (New Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,10.0,"1987, June",1987.0,dc
489336,Kirk Marston (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1.0,Apr-76,1976.0,marvel
125255,Lightningbolt (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,3.0,Dec-85,1985.0,marvel
12857,Jonathan Darque (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,8.0,Oct-81,1981.0,marvel
200043,James Kim (New Earth),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,1.0,"2011, February",2011.0,dc
556069,Lizhardus (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,2.0,Jun-74,1974.0,marvel
558030,Katherine Spar (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,4.0,Sep-98,1998.0,marvel
151840,Erich Thonius (New Earth),Secret Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,2.0,"2005, August",2005.0,dc
1598,Ogun (Ninja) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,23.0,Nov-84,1984.0,marvel
69825,Jacob Bolt (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,2.0,Jul-72,1972.0,marvel
691815,Harrison Snow (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,11.0,,,marvel
6636,Dorrek VIII (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Homosexual Characters,Living Characters,103.0,Apr-05,2005.0,marvel
389402,General Combest (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,2.0,Sep-10,2010.0,marvel
185831,Electron (New Earth),,Bad Characters,,,Male Characters,,Living Characters,1.0,"1983, October",1983.0,dc
1605,Orka (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,41.0,Mar-70,1970.0,marvel
642189,Andrea Benton (Earth-616),Public Identity,Neutral Characters,Purple Eyes,Purple Hair,Female Characters,,Living Characters,11.0,Apr-13,2013.0,marvel
211743,Settler II (New Earth),Secret Identity,,,,Male Characters,,Living Characters,1.0,"2010, December",2010.0,dc
39551,Grace Powell (Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,48.0,Mar-91,1991.0,marvel
536172,Celia DeWolff Weatherby (Earth-616),Public Identity,Good Characters,Violet Eyes,Brown Hair,Female Characters,,Living Characters,2.0,Oct-85,1985.0,marvel
129951,Rafael Santini (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2.0,"1990, January",1990.0,dc
194616,Wildman (New Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1.0,"1994, February",1994.0,dc
194613,Wild Huntsman I (New Earth),,Bad Characters,,,Male Characters,,Living Characters,6.0,"1994, September",1994.0,dc
624575,Doe Eyes (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,3.0,Apr-54,1954.0,marvel
697493,Lyudmila Antonovna Kudrin (Earth-616),Public Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,2.0,Mar-05,2005.0,marvel
239998,Sigismund Bismarck (Earth-616),,Good Characters,,Blond Hair,Male Characters,,Living Characters,2.0,Jun-01,2001.0,marvel
191623,Mrs. Jenks (Earth-616),,Good Characters,,,Female Characters,,Living Characters,8.0,Jan-73,1973.0,marvel
316124,Lippy Louie (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,6.0,Oct-69,1969.0,marvel
60027,Dog (China Force) (Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,1.0,,,marvel
407696,Ichisumi (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,13.0,Jan-11,2011.0,marvel
24301,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,254.0,"1986, October",1986.0,dc
388994,Arthur Perry (Earth-616),No Dual Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,5.0,Sep-86,1986.0,marvel
285188,George Martin (Earth-616),Public Identity,,,,Male Characters,,Living Characters,2.0,Jan-89,1989.0,marvel
70748,Ivan Carmichael (Earth-616),Public Identity,,,,Male Characters,,Living Characters,3.0,May-75,1975.0,marvel
65300,Doctor Moon (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,21.0,"1972, March",1972.0,dc
16625,Loss (Gene Nation) (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,4.0,Apr-96,1996.0,marvel
202295,Barry Quinzel (New Earth),Public Identity,,,Black Hair,Male Characters,,Living Characters,,"2010, February",2010.0,dc
731706,Devastator (Ascendants) (Earth-616),Secret Identity,Good Characters,Green Eyes,Bald,Male Characters,,Living Characters,2.0,,,marvel
508031,Frathag (Earth-616),,Bad Characters,,,,,Living Characters,,,,marvel
250717,Araoha Tepania (Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,1.0,Jul-98,1998.0,marvel
